2020-11-24 19:42:21.031 [http-nio-8005-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-11-24 19:42:21.031 [http-nio-8005-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-11-24 19:42:21.048 [http-nio-8005-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 17 ms
2020-11-24 19:44:59.290 [http-nio-8005-exec-5] INFO  c.s.api.aspect.ServiceLogAspect - === 开始执行 class com.soft1851.admin.service.impl.FriendLinkServiceImpl.saveOrUpdateFriendLink ===
2020-11-24 19:44:59.699 [http-nio-8005-exec-5] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:231}] to 118.31.45.29:27017
2020-11-24 19:44:59.736 [http-nio-8005-exec-5] INFO  c.s.api.aspect.ServiceLogAspect - 当前执行耗时: 446
2020-11-24 19:45:57.174 [http-nio-8005-exec-6] INFO  c.s.api.aspect.ServiceLogAspect - === 开始执行 class com.soft1851.admin.service.impl.FriendLinkServiceImpl.saveOrUpdateFriendLink ===
2020-11-24 19:45:57.194 [http-nio-8005-exec-6] INFO  c.s.api.aspect.ServiceLogAspect - 当前执行耗时: 20
2020-11-24 19:46:07.652 [http-nio-8005-exec-2] INFO  c.s.api.aspect.ServiceLogAspect - === 开始执行 class com.soft1851.admin.service.impl.FriendLinkServiceImpl.saveOrUpdateFriendLink ===
2020-11-24 19:46:07.673 [http-nio-8005-exec-2] INFO  c.s.api.aspect.ServiceLogAspect - 当前执行耗时: 21
2020-11-24 19:52:03.601 [http-nio-8005-exec-4] INFO  c.s.api.aspect.ServiceLogAspect - === 开始执行 class com.soft1851.admin.service.impl.FriendLinkServiceImpl.queryAllFriendLinkList ===
2020-11-24 19:52:03.822 [http-nio-8005-exec-4] INFO  c.s.api.aspect.ServiceLogAspect - 当前执行耗时: 221
2020-11-24 19:55:56.773 [http-nio-8005-exec-7] INFO  c.s.api.aspect.ServiceLogAspect - === 开始执行 class com.soft1851.admin.service.impl.FriendLinkServiceImpl.delete ===
2020-11-24 19:55:56.814 [http-nio-8005-exec-7] INFO  c.s.api.aspect.ServiceLogAspect - 当前执行耗时: 41
2020-11-24 19:56:21.427 [http-nio-8005-exec-3] INFO  c.s.api.aspect.ServiceLogAspect - === 开始执行 class com.soft1851.admin.service.impl.FriendLinkServiceImpl.delete ===
2020-11-24 19:56:21.446 [http-nio-8005-exec-3] INFO  c.s.api.aspect.ServiceLogAspect - 当前执行耗时: 18
